dist,payoff,exact,analytical_mean,analytical_err,N,M,noise_std,length_scale,F_sq,cond_XtX,n_eff_eigvals,min_phase_gap
weibull,policy_limit,1.7853605191923019,2.129996704209072,0.3446361850167703,8,2,0.01,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
weibull,deductible_with_limit,0.9234985804117545,1.4015105377198998,0.4780119573081453,8,2,0.01,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
weibull,stop_loss,0.9256128274064236,1.4051291683577425,0.4795163409513189,8,2,0.01,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
pareto,ordinary_deductible,0.486,0.6989887197145491,0.21298871971454914,8,2,0.01,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
pareto,franchise_deductible,1.485,3.1135821351893394,1.6285821351893393,8,2,0.01,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
pareto,policy_limit,1.4750000000538668,4.007946734366404,2.532946734312537,8,2,0.01,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
pareto,deductible_with_limit,0.4811111111370867,0.6953214345544841,0.21421032341739743,8,2,0.01,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
pareto,stop_loss,0.486,0.6989887197145491,0.21298871971454914,8,2,0.01,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
lognormal,ordinary_deductible,0.8579739047504147,0.8137553936640833,0.04421851108633135,8,2,0.01,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
lognormal,franchise_deductible,1.3569725786927767,1.2917753584873748,0.06519722020540186,8,2,0.01,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
lognormal,policy_limit,1.4655262805158773,1.9518948648066872,0.48636858429080987,8,2,0.01,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
lognormal,deductible_with_limit,0.7484181837430338,0.678474184308839,0.06994399943419483,8,2,0.01,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
lognormal,stop_loss,0.8579739047504147,0.8137553936640833,0.04421851108633135,8,2,0.01,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
gamma,ordinary_deductible,1.0943071914960318,1.4957350912461704,0.4014278997501386,8,2,0.01,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
gamma,franchise_deductible,1.829066071877044,2.1746122699419503,0.3455461980649064,8,2,0.01,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
gamma,policy_limit,1.9478343710072936,2.115962464706205,0.16812809369891157,8,2,0.01,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
gamma,deductible_with_limit,1.0788083093197212,1.4872968280368133,0.40848851871709213,8,2,0.01,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
gamma,stop_loss,1.0943071914960318,1.4957350912461704,0.4014278997501386,8,2,0.01,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
weibull,ordinary_deductible,0.9256128274064236,1.4052541366778446,0.479641309271421,8,2,0.01,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
weibull,franchise_deductible,1.6268013317246828,2.178095648160028,0.5512943164353454,8,2,0.01,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
weibull,policy_limit,1.7853605191923019,2.1301332022906805,0.3447726830983786,8,2,0.01,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
weibull,deductible_with_limit,0.9234985804117545,1.4016350169734941,0.47813643656173965,8,2,0.01,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
weibull,stop_loss,0.9256128274064236,1.4052541366778446,0.479641309271421,8,2,0.01,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
pareto,ordinary_deductible,0.486,0.6990130832196823,0.21301308321968226,8,2,0.01,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
pareto,franchise_deductible,1.485,3.113652942653088,1.628652942653088,8,2,0.01,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
pareto,policy_limit,1.4750000000538668,4.008025494751763,2.5330254946978963,8,2,0.01,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
pareto,deductible_with_limit,0.4811111111370867,0.6953454754288831,0.21423436429179643,8,2,0.01,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
pareto,stop_loss,0.486,0.6990130832196823,0.21301308321968226,8,2,0.01,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
lognormal,ordinary_deductible,0.8579739047504147,0.8138489883601719,0.04412491639024274,8,2,0.01,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
lognormal,franchise_deductible,1.3569725786927767,1.2918798830614049,0.06509269563137177,8,2,0.01,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
lognormal,policy_limit,1.4655262805158773,1.9518925556276354,0.4863662751117581,8,2,0.01,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
lognormal,deductible_with_limit,0.7484181837430338,0.6785364768481418,0.06988170689489204,8,2,0.01,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
lognormal,stop_loss,0.8579739047504147,0.8138489883601719,0.04412491639024274,8,2,0.01,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
gamma,ordinary_deductible,1.0943071914960318,1.4958175365628743,0.40151034506684247,8,2,0.01,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
gamma,franchise_deductible,1.829066071877044,2.174711956623266,0.34564588474622226,8,2,0.01,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
gamma,policy_limit,1.9478343710072936,2.1160503809737055,0.16821600996641184,8,2,0.01,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
gamma,deductible_with_limit,1.0788083093197212,1.4873786052409343,0.4085702959212132,8,2,0.01,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
gamma,stop_loss,1.0943071914960318,1.4958175365628743,0.40151034506684247,8,2,0.01,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
weibull,ordinary_deductible,0.9256128274064236,1.4053058263852145,0.4796929989787909,8,2,0.01,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
weibull,franchise_deductible,1.6268013317246828,2.178174255524686,0.5513729238000034,8,2,0.01,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
weibull,policy_limit,1.7853605191923019,2.130209500384409,0.34484898119210694,8,2,0.01,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
weibull,deductible_with_limit,0.9234985804117545,1.401686567066343,0.4781879866545885,8,2,0.01,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
weibull,stop_loss,0.9256128274064236,1.4053058263852145,0.4796929989787909,8,2,0.01,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
pareto,ordinary_deductible,0.486,0.6990591162749955,0.21305911627499552,8,2,0.01,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
pareto,franchise_deductible,1.485,3.1139050020284813,1.6289050020284812,8,2,0.01,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
pareto,policy_limit,1.4750000000538668,4.008365394825599,2.5333653947717325,8,2,0.01,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
pareto,deductible_with_limit,0.4811111111370867,0.6953915097657336,0.2142803986286469,8,2,0.01,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
pareto,stop_loss,0.486,0.6990591162749955,0.21305911627499552,8,2,0.01,3.0,3.46748340144757,4.074077116657982,2,0.605839652410074
lognormal,ordinary_deductible,0.8579739047504147,0.8138815680763314,0.0440923366740833,8,2,0.01,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
lognormal,franchise_deductible,1.3569725786927767,1.2919189103781537,0.065053668314623,8,2,0.01,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
lognormal,policy_limit,1.4655262805158773,1.9519053601993768,0.48637907968349947,8,2,0.01,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
lognormal,deductible_with_limit,0.7484181837430338,0.6785591050383271,0.06985907870470676,8,2,0.01,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
lognormal,stop_loss,0.8579739047504147,0.8138815680763314,0.0440923366740833,8,2,0.01,3.0,3.0393467957574134,4.5547624713720065,2,0.6399486008074065
gamma,ordinary_deductible,1.0943071914960318,1.4958428753410355,0.4015356838450037,8,2,0.01,3.0,5.471789453652256,7.186505012811257,2,0.7556955016982031
